"","lat","lon","type"
"417",37.6119788,127.0046554,"bell"
"418",37.6111644,127.0049993,"bell"
"419",37.6113922,127.00455,"bell"
"420",37.611863,127.004068,"bell"
"421",37.6115324,127.0040803,"bell"
"422",37.6119932,127.0032644,"bell"
"423",37.6110961,127.0035244,"bell"
"424",37.6113319,127.0028439,"bell"
"425",37.6115269,127.0024709,"bell"
"426",37.6180471,127.0458673,"bell"
"427",37.6109841,127.0563245,"bell"
"428",37.5873385,127.0056438,"bell"
"429",37.58763356,127.0056792,"bell"
"430",37.5877749,127.0062177,"bell"
"431",37.5873498,127.0067781,"bell"
"432",37.5876994,127.0069106,"bell"
"433",37.5867793,127.0077941,"bell"
"434",37.5863429,127.008123,"bell"
"435",37.6118174,127.0393266,"bell"
"436",37.6146597,127.0392674,"bell"
"437",37.6140086,127.0389813,"bell"
"438",37.6134802,127.0386018,"bell"
"439",37.6127762,127.038347,"bell"
"440",37.6127275,127.0391122,"bell"
"441",37.612221,127.0397643,"bell"
"442",37.614167,127.04217,"bell"
"443",37.6113813,127.0558529,"bell"
"444",37.5918358,127.0035434,"bell"
"445",37.5888457,127.0037011,"bell"
"446",37.58844799,127.006961,"bell"
"447",37.587958,127.0075287,"bell"
"448",37.5960492,127.0186173,"bell"
"449",37.5926574,127.0180345,"bell"
"450",37.583301,127.0241174,"bell"
"451",37.5835841,127.0213013,"bell"
"452",37.6122803,127.0141657,"bell"
"453",37.5993358,127.0026666,"bell"
"454",37.6082239,127.0148263,"bell"
"455",37.6072012,127.0079379,"bell"
"456",37.6147941,126.9993894,"bell"
"457",37.6182171,126.9982154,"bell"
"458",37.6092416,127.0109937,"bell"
"459",37.6075189,127.0204337,"bell"
"460",37.6008386,127.0317534,"bell"
"461",37.5956439,127.0329384,"bell"
"462",37.5924311,127.0375999,"bell"
"463",37.6037587,127.0358119,"bell"
"464",37.6073571,127.0359919,"bell"
"465",37.604602,127.0382303,"bell"
"466",37.6064992,127.040866,"bell"
"467",37.6134966,127.0422737,"bell"
"468",37.6155775,127.0448817,"bell"
"469",37.6159953,127.0435137,"bell"
"470",37.609498,127.0521277,"bell"
"471",37.6103101,127.05003,"bell"
"472",37.6161801,127.0496574,"bell"
"473",37.6164996,127.0547744,"bell"
"474",37.610797,127.0604191,"bell"
"475",37.6058848,127.059884,"bell"
"476",37.6069266,127.0593477,"bell"
"477",37.6060545,127.0491294,"bell"
"478",37.60684285,127.0504693,"bell"
"479",37.6042073,127.0490102,"bell"
"480",37.6043222,127.0501798,"bell"
"481",37.6053099,127.0503122,"bell"
"482",37.6050471,127.0501377,"bell"
"483",37.607111,127.0487659,"bell"
"484",37.5868941,127.0144349,"bell"
"485",37.5972872,127.0202154,"bell"
"486",37.5972872,127.0202154,"bell"
"487",37.6124926,127.011978,"bell"
"488",37.6111119,127.0126917,"bell"
"489",37.6076772,127.0414344,"bell"
"490",37.6087414,127.0348154,"bell"
"491",37.6112078,127.0555651,"bell"
"492",37.6105107,127.0636303,"bell"
"493",37.5842415,127.0087408,"bell"
"494",37.6132452,127.0076005,"bell"
"495",37.6148658,127.0530666,"bell"
"496",37.6087077,127.056496,"bell"
"497",37.5964636,127.0173096,"bell"
"498",37.6067717,126.9983745,"bell"
"499",37.6063762,127.0011354,"bell"
"500",37.6180677,127.0052618,"bell"
"501",37.606482,127.0303574,"bell"
"502",37.6162379,127.04243,"bell"
"503",37.6132836,127.040454,"bell"
"504",37.6101298,127.0541698,"bell"
"505",37.5924538,127.0115681,"bell"
"506",37.6165696,127.0470099,"bell"
"507",37.6161178,127.0466282,"bell"
"508",37.6161332,127.0469724,"bell"
"509",37.6160166,127.0465921,"bell"
"510",37.6158437,127.0464935,"bell"
"511",37.6109265,127.0657318,"bell"
"512",37.609312,127.0658562,"bell"
"513",37.6084234,127.0653803,"bell"
"514",37.6088764,127.0655773,"bell"
"515",37.60989897,127.0652489,"bell"
"516",37.6094518,127.0647399,"bell"
"517",37.6097252,127.0639958,"bell"
"518",37.6101669,127.0650447,"bell"
"519",37.5873459,127.0280641,"bell"
"520",37.6108246,127.0645789,"bell"
"521",37.611136,127.0644153,"bell"
"522",37.6108155,127.0633229,"bell"
"523",37.6102938,127.0640045,"bell"
"524",37.6105968,127.0653972,"bell"
"525",37.59818,127.0320143,"bell"
"526",37.5992177,127.0335263,"bell"
"527",37.5874433,127.0098601,"bell"
"528",37.6143051,127.0427504,"bell"
"529",37.6147311,127.0415069,"bell"
"530",37.6148977,127.0408399,"bell"
"531",37.6162598,127.0419109,"bell"
"532",37.6174023,127.0435773,"bell"
"533",37.6182858,127.0438559,"bell"
"534",37.6176203,127.0429084,"bell"
"535",37.6172972,127.0437236,"bell"
"536",37.6168556,127.0446094,"bell"
"537",37.617367,127.0458964,"bell"
"538",37.6164762,127.0449314,"bell"
"539",37.6172249,127.0448108,"bell"
"540",37.6171753,127.0473771,"bell"
"541",37.617625,127.0469386,"bell"
"542",37.617293,127.0464365,"bell"
"543",37.6174004,127.0472439,"bell"
"544",37.6165219,127.0458993,"bell"
"545",37.6157859,127.0455859,"bell"
"546",37.6144989,127.0450983,"bell"
"547",37.6142326,127.0460441,"bell"
"548",37.6151731,127.0463605,"bell"
"549",37.6156554,127.04694,"bell"
"550",37.6151144,127.0475687,"bell"
"551",37.6152847,127.0471237,"bell"
"552",37.6156449,127.0476548,"bell"
"553",37.6154892,127.0458932,"bell"
"554",37.6142434,127.0449214,"bell"
"555",37.6142467,127.044107,"bell"
"556",37.6140366,127.0436453,"bell"
"557",37.61516352,127.0435975,"bell"
"558",37.6155429,127.0435082,"bell"
"559",37.6156978,127.0477334,"bell"
